,all_100,all_101,all_102,all_103
247,18.0,13.0,13.0,9.0
248,14.0,9.0,10.0,8.0
249,13.0,6.0,8.0,9.0
250,11.0,8.0,9.0,9.0
251,10.0,8.0,7.0,8.0
252,9.0,7.0,10.0,8.0
253,9.0,4.0,8.0,6.0
254,9.0,3.0,5.0,4.0
255,11.0,2.0,5.0,4.0
256,7.0,1.0,5.0,4.0
257,4.0,0.0,3.0,5.0
258,4.0,3.0,3.0,3.0
259,8.0,3.0,3.0,5.0
260,9.0,2.0,4.0,6.0
261,9.0,2.0,7.0,7.0
262,9.0,2.0,8.0,7.0
263,11.0,3.0,9.0,7.0
264,13.0,6.0,10.0,9.0
265,14.0,6.0,11.0,10.0
266,14.0,9.0,15.0,11.0
267,15.0,11.0,15.0,11.0
268,17.0,11.0,17.0,11.0
269,18.0,14.0,20.0,12.0
270,18.0,16.0,20.0,14.0
271,14.0,13.0,17.0,10.0
272,10.0,11.0,16.0,7.0
273,8.0,12.0,15.0,6.0
274,6.0,13.0,13.0,4.0
275,7.0,16.0,13.0,2.0
276,9.0,14.0,10.0,1.0
277,5.0,12.0,10.0,3.0
278,7.0,10.0,8.0,4.0
279,6.0,9.0,8.0,4.0
280,3.0,9.0,7.0,5.0
281,2.0,8.0,5.0,5.0
282,1.0,7.0,7.0,4.0
283,1.0,8.0,11.0,9.0
284,2.0,10.0,11.0,10.0
285,3.0,11.0,15.0,11.0
286,5.0,11.0,17.0,12.0
287,5.0,12.0,18.0,12.0
288,5.0,12.0,18.0,13.0
289,5.0,13.0,19.0,14.0
290,8.0,15.0,21.0,16.0
291,8.0,18.0,22.0,17.0
292,10.0,20.0,23.0,18.0
293,12.0,22.0,23.0,20.0
294,14.0,24.0,24.0,23.0
295,13.0,19.0,20.0,19.0
296,12.0,19.0,16.0,17.0
297,12.0,18.0,15.0,14.0
298,10.0,17.0,15.0,14.0
299,10.0,14.0,13.0,13.0
300,11.0,14.0,13.0,15.0
301,11.0,13.0,9.0,14.0
302,8.0,11.0,5.0,13.0
303,10.0,10.0,2.0,14.0
304,7.0,12.0,2.0,12.0
305,3.0,10.0,6.0,11.0
306,1.0,7.0,9.0,8.0
307,3.0,8.0,11.0,8.0
308,3.0,8.0,11.0,10.0
309,5.0,8.0,14.0,12.0
310,7.0,9.0,16.0,14.0
311,8.0,9.0,17.0,14.0
312,10.0,9.0,17.0,15.0
313,11.0,11.0,20.0,16.0
314,11.0,13.0,20.0,18.0
315,14.0,15.0,20.0,19.0
316,15.0,17.0,22.0,20.0
317,16.0,18.0,23.0,21.0
318,18.0,20.0,24.0,22.0
319,13.0,17.0,21.0,18.0
320,11.0,16.0,15.0,15.0
321,12.0,16.0,16.0,15.0
322,13.0,16.0,14.0,12.0
323,11.0,16.0,11.0,13.0
324,12.0,15.0,11.0,12.0
325,11.0,13.0,11.0,10.0
326,9.0,11.0,10.0,10.0
327,8.0,12.0,8.0,11.0
328,4.0,10.0,8.0,9.0
329,1.0,7.0,8.0,7.0
330,3.0,9.0,7.0,9.0
331,3.0,10.0,7.0,9.0
332,4.0,10.0,8.0,9.0
333,6.0,11.0,11.0,10.0
334,7.0,11.0,13.0,12.0
335,9.0,12.0,13.0,12.0
336,9.0,14.0,13.0,12.0
337,10.0,15.0,14.0,13.0
338,12.0,15.0,14.0,16.0
339,14.0,15.0,15.0,19.0
340,15.0,19.0,18.0,23.0
341,16.0,20.0,20.0,24.0
342,17.0,21.0,20.0,25.0
343,16.0,17.0,17.0,20.0
344,14.0,16.0,14.0,18.0
345,13.0,15.0,12.0,18.0
346,12.0,14.0,13.0,18.0
347,10.0,14.0,14.0,17.0
348,15.0,13.0,15.0,15.0
349,13.0,10.0,14.0,16.0
350,10.0,8.0,11.0,13.0
351,6.0,6.0,10.0,13.0
352,3.0,3.0,7.0,11.0
353,1.0,3.0,4.0,7.0
354,2.0,6.0,3.0,7.0
355,4.0,6.0,5.0,7.0
356,6.0,8.0,5.0,12.0
357,8.0,8.0,5.0,13.0
358,11.0,11.0,7.0,15.0
359,13.0,11.0,8.0,15.0
360,13.0,13.0,10.0,15.0
361,13.0,15.0,12.0,17.0
362,13.0,17.0,14.0,19.0
363,14.0,18.0,15.0,20.0
364,14.0,18.0,17.0,20.0
365,15.0,19.0,17.0,24.0
366,18.0,21.0,19.0,25.0
367,12.0,18.0,15.0,22.0
368,10.0,14.0,14.0,20.0
369,8.0,13.0,14.0,17.0
370,8.0,13.0,12.0,15.0
371,8.0,13.0,9.0,16.0
372,9.0,10.0,9.0,13.0
373,6.0,8.0,9.0,13.0
374,5.0,10.0,6.0,11.0
375,5.0,7.0,5.0,12.0
376,4.0,2.0,3.0,11.0
377,3.0,0.0,4.0,12.0
378,1.0,3.0,2.0,12.0
379,2.0,5.0,4.0,14.0
380,4.0,7.0,4.0,16.0
381,5.0,9.0,5.0,16.0
382,10.0,9.0,6.0,17.0
383,11.0,9.0,8.0,17.0
384,12.0,11.0,10.0,18.0
385,15.0,12.0,14.0,19.0
386,16.0,12.0,14.0,19.0
387,19.0,13.0,15.0,20.0
388,20.0,13.0,15.0,22.0
389,23.0,15.0,15.0,22.0
390,24.0,17.0,17.0,26.0
391,20.0,16.0,14.0,21.0
392,18.0,16.0,13.0,17.0
393,16.0,17.0,12.0,17.0
394,19.0,13.0,12.0,16.0
395,17.0,17.0,13.0,16.0
396,14.0,18.0,9.0,14.0
397,13.0,15.0,8.0,13.0
398,11.0,14.0,6.0,11.0
399,8.0,14.0,4.0,10.0
400,7.0,12.0,5.0,11.0
401,4.0,7.0,3.0,8.0
402,1.0,4.0,3.0,8.0
403,2.0,5.0,5.0,8.0
404,5.0,7.0,6.0,8.0
405,6.0,7.0,6.0,9.0
406,7.0,9.0,8.0,9.0
407,9.0,10.0,9.0,11.0
408,11.0,12.0,12.0,12.0
409,13.0,13.0,13.0,12.0
410,14.0,15.0,14.0,12.0
411,14.0,15.0,15.0,15.0
412,14.0,16.0,17.0,16.0
413,17.0,17.0,18.0,16.0
414,19.0,17.0,19.0,18.0
415,14.0,13.0,19.0,13.0
416,15.0,11.0,17.0,10.0
417,15.0,11.0,18.0,10.0
418,15.0,13.0,21.0,10.0
419,11.0,11.0,21.0,11.0
420,12.0,10.0,18.0,10.0
421,11.0,8.0,13.0,6.0
422,8.0,6.0,9.0,6.0
423,4.0,6.0,11.0,4.0
424,1.0,6.0,6.0,3.0
425,2.0,7.0,6.0,4.0
426,4.0,5.0,4.0,2.0
427,5.0,5.0,6.0,4.0
428,8.0,5.0,6.0,7.0
429,10.0,5.0,9.0,9.0
430,10.0,5.0,11.0,11.0
431,15.0,5.0,12.0,10.0
432,16.0,7.0,14.0,12.0
433,16.0,8.0,14.0,13.0
434,18.0,9.0,14.0,15.0
435,21.0,11.0,14.0,16.0
436,23.0,13.0,17.0,19.0
437,25.0,13.0,17.0,19.0
438,26.0,15.0,19.0,21.0
439,21.0,11.0,14.0,17.0
440,17.0,12.0,12.0,16.0
441,16.0,11.0,14.0,13.0
442,14.0,9.0,14.0,13.0
443,16.0,10.0,12.0,14.0
444,12.0,9.0,8.0,15.0
445,10.0,5.0,5.0,13.0
446,8.0,4.0,5.0,9.0
447,6.0,4.0,5.0,5.0
448,5.0,4.0,3.0,4.0
449,4.0,5.0,3.0,4.0
450,4.0,5.0,3.0,4.0
451,4.0,9.0,4.0,6.0
452,5.0,10.0,8.0,7.0
453,5.0,10.0,12.0,9.0
454,6.0,11.0,13.0,11.0
455,6.0,11.0,13.0,14.0
456,6.0,12.0,16.0,14.0
457,6.0,12.0,18.0,15.0
458,6.0,15.0,18.0,15.0
459,10.0,15.0,20.0,15.0
460,10.0,16.0,23.0,19.0
461,12.0,16.0,23.0,19.0
462,13.0,17.0,25.0,19.0
463,8.0,11.0,21.0,15.0
464,9.0,8.0,20.0,13.0
465,10.0,7.0,19.0,10.0
466,11.0,5.0,17.0,10.0
467,10.0,5.0,15.0,8.0
468,9.0,6.0,14.0,7.0
469,10.0,3.0,15.0,7.0
470,10.0,3.0,14.0,8.0
471,8.0,3.0,12.0,6.0
472,4.0,4.0,11.0,5.0
473,3.0,5.0,8.0,6.0
474,2.0,5.0,6.0,6.0
475,3.0,6.0,6.0,6.0
476,3.0,6.0,7.0,6.0
477,3.0,11.0,8.0,6.0
478,4.0,13.0,9.0,7.0
479,5.0,13.0,12.0,8.0
480,6.0,12.0,13.0,10.0
481,6.0,13.0,17.0,10.0
482,8.0,13.0,20.0,12.0
483,9.0,15.0,20.0,12.0
484,10.0,15.0,22.0,12.0
485,11.0,16.0,23.0,12.0
486,12.0,16.0,23.0,14.0
487,7.0,11.0,19.0,11.0
488,5.0,12.0,17.0,10.0
489,6.0,10.0,19.0,8.0
490,3.0,11.0,19.0,6.0
491,1.0,8.0,16.0,6.0
492,2.0,8.0,13.0,8.0
493,5.0,7.0,13.0,10.0
494,5.0,5.0,11.0,9.0
495,7.0,4.0,9.0,8.0
496,8.0,2.0,8.0,7.0
497,8.0,1.0,7.0,4.0
498,6.0,0.0,12.0,2.0
499,6.0,3.0,13.0,3.0
500,7.0,3.0,13.0,4.0
501,8.0,3.0,13.0,4.0
502,9.0,3.0,14.0,9.0
503,10.0,4.0,15.0,11.0
504,12.0,4.0,15.0,12.0
505,12.0,6.0,15.0,16.0
506,17.0,7.0,17.0,17.0
507,18.0,7.0,17.0,17.0
508,17.0,9.0,19.0,19.0
509,18.0,10.0,20.0,23.0
510,20.0,12.0,22.0,23.0
511,15.0,10.0,15.0,20.0
512,12.0,10.0,13.0,19.0
513,12.0,11.0,15.0,19.0
514,11.0,9.0,14.0,17.0
515,10.0,8.0,12.0,15.0
516,9.0,8.0,8.0,15.0
517,10.0,8.0,7.0,14.0
518,6.0,4.0,5.0,11.0
519,4.0,2.0,5.0,9.0
520,2.0,5.0,5.0,7.0
521,4.0,5.0,5.0,5.0
522,5.0,3.0,6.0,5.0
523,7.0,3.0,7.0,5.0
524,8.0,4.0,10.0,8.0
525,9.0,4.0,11.0,8.0
526,10.0,5.0,12.0,8.0
527,11.0,5.0,16.0,9.0
528,12.0,6.0,17.0,9.0
529,14.0,6.0,16.0,9.0
530,16.0,7.0,17.0,10.0
531,18.0,8.0,17.0,10.0
532,22.0,12.0,18.0,10.0
533,22.0,13.0,18.0,11.0
534,22.0,13.0,18.0,12.0
535,17.0,7.0,13.0,12.0
536,13.0,5.0,10.0,9.0
537,14.0,3.0,8.0,6.0
538,12.0,2.0,7.0,8.0
539,12.0,1.0,8.0,7.0
540,9.0,3.0,7.0,4.0
541,10.0,4.0,7.0,3.0
542,9.0,4.0,5.0,4.0
543,6.0,3.0,5.0,5.0
544,4.0,2.0,5.0,5.0
545,4.0,3.0,3.0,5.0
546,5.0,4.0,3.0,5.0
547,5.0,5.0,5.0,5.0
548,6.0,6.0,5.0,8.0
549,7.0,6.0,6.0,9.0
550,8.0,6.0,8.0,7.0
551,11.0,8.0,8.0,7.0
552,11.0,11.0,8.0,7.0
553,15.0,13.0,10.0,9.0
554,14.0,15.0,10.0,10.0
555,15.0,20.0,10.0,11.0
556,16.0,22.0,10.0,11.0
557,20.0,23.0,12.0,13.0
558,22.0,24.0,12.0,15.0
559,17.0,18.0,11.0,9.0
560,13.0,14.0,8.0,7.0
561,17.0,13.0,7.0,7.0
562,17.0,12.0,8.0,7.0
563,15.0,14.0,9.0,5.0
564,13.0,14.0,7.0,5.0
565,12.0,10.0,4.0,6.0
566,8.0,6.0,2.0,4.0
567,8.0,3.0,2.0,2.0
568,7.0,3.0,2.0,2.0
569,4.0,2.0,1.0,1.0
570,4.0,2.0,1.0,1.0
571,6.0,3.0,5.0,1.0
572,6.0,4.0,5.0,2.0
573,8.0,5.0,5.0,2.0
574,9.0,6.0,5.0,5.0
575,13.0,9.0,5.0,6.0
576,14.0,10.0,7.0,6.0
577,14.0,11.0,9.0,6.0
578,15.0,14.0,10.0,6.0
579,16.0,14.0,11.0,9.0
580,17.0,16.0,13.0,9.0
581,17.0,18.0,13.0,11.0
582,18.0,18.0,14.0,12.0
583,16.0,14.0,11.0,8.0
584,12.0,16.0,9.0,5.0
585,9.0,16.0,11.0,5.0
586,11.0,15.0,11.0,7.0
587,11.0,15.0,9.0,7.0
588,9.0,12.0,7.0,5.0
589,6.0,14.0,5.0,5.0
590,3.0,11.0,3.0,3.0
591,3.0,8.0,4.0,2.0
592,1.0,9.0,4.0,2.0
593,2.0,9.0,4.0,4.0
594,4.0,7.0,3.0,4.0
595,5.0,8.0,7.0,5.0
596,8.0,8.0,11.0,5.0
597,10.0,9.0,11.0,5.0
598,11.0,10.0,12.0,6.0
599,14.0,10.0,16.0,8.0
600,14.0,13.0,17.0,10.0
601,16.0,14.0,18.0,10.0
602,17.0,15.0,19.0,10.0
603,20.0,16.0,22.0,12.0
604,22.0,17.0,24.0,14.0
605,23.0,19.0,26.0,15.0
606,25.0,20.0,29.0,16.0
607,19.0,17.0,25.0,14.0
608,17.0,16.0,23.0,13.0
609,15.0,14.0,24.0,11.0
610,15.0,12.0,24.0,9.0
611,13.0,14.0,20.0,9.0
612,12.0,13.0,16.0,10.0
613,10.0,14.0,12.0,6.0
614,9.0,12.0,12.0,4.0
615,8.0,10.0,16.0,3.0
616,7.0,9.0,18.0,4.0
617,6.0,8.0,16.0,4.0
618,4.0,7.0,11.0,1.0
619,6.0,8.0,11.0,3.0
620,6.0,10.0,11.0,3.0
621,10.0,10.0,13.0,6.0
622,11.0,11.0,14.0,5.0
623,11.0,14.0,16.0,7.0
624,13.0,15.0,16.0,8.0
625,15.0,15.0,16.0,8.0
626,15.0,17.0,16.0,12.0
627,17.0,18.0,16.0,12.0
628,19.0,21.0,19.0,14.0
629,21.0,23.0,20.0,14.0
630,23.0,25.0,21.0,14.0
631,19.0,21.0,16.0,10.0
632,17.0,20.0,13.0,8.0
633,15.0,19.0,10.0,8.0
634,14.0,19.0,10.0,8.0
635,15.0,20.0,7.0,6.0
636,14.0,21.0,9.0,9.0
637,13.0,19.0,8.0,6.0
638,13.0,16.0,8.0,3.0
639,12.0,14.0,9.0,2.0
640,6.0,12.0,8.0,2.0
641,3.0,11.0,7.0,1.0
642,3.0,12.0,6.0,2.0
643,3.0,13.0,8.0,2.0
644,4.0,15.0,9.0,3.0
645,5.0,17.0,10.0,6.0
646,5.0,18.0,11.0,11.0
647,6.0,19.0,12.0,13.0
648,7.0,19.0,12.0,15.0
649,8.0,20.0,13.0,16.0
650,9.0,20.0,14.0,18.0
651,11.0,22.0,14.0,19.0
652,12.0,23.0,15.0,20.0
653,13.0,23.0,16.0,21.0
654,13.0,24.0,19.0,22.0
655,10.0,19.0,14.0,17.0
656,7.0,17.0,11.0,16.0
657,7.0,17.0,9.0,17.0
658,6.0,17.0,8.0,14.0
659,8.0,14.0,7.0,13.0
660,7.0,13.0,6.0,16.0
661,5.0,8.0,3.0,13.0
662,2.0,7.0,4.0,12.0
663,2.0,6.0,7.0,9.0
664,2.0,7.0,6.0,10.0
665,1.0,5.0,5.0,10.0
666,5.0,6.0,3.0,8.0
667,6.0,6.0,3.0,9.0
668,7.0,6.0,3.0,11.0
669,8.0,7.0,5.0,12.0
670,9.0,9.0,5.0,14.0
671,10.0,12.0,5.0,15.0
672,10.0,14.0,7.0,15.0
673,10.0,15.0,9.0,16.0
674,12.0,15.0,11.0,16.0
675,13.0,16.0,13.0,17.0
676,15.0,17.0,14.0,17.0
677,17.0,18.0,15.0,18.0
678,17.0,20.0,17.0,21.0
679,14.0,16.0,14.0,15.0
680,11.0,13.0,13.0,13.0
681,9.0,12.0,13.0,14.0
682,8.0,12.0,14.0,13.0
683,8.0,11.0,11.0,15.0
684,8.0,8.0,8.0,16.0
685,9.0,6.0,7.0,11.0
686,8.0,4.0,5.0,8.0
687,6.0,4.0,6.0,10.0
688,5.0,2.0,7.0,8.0
689,5.0,2.0,6.0,7.0
690,4.0,5.0,5.0,7.0
691,5.0,8.0,7.0,9.0
692,5.0,9.0,7.0,11.0
693,5.0,9.0,7.0,11.0
694,7.0,10.0,8.0,12.0
695,8.0,11.0,8.0,12.0
696,8.0,11.0,9.0,12.0
697,10.0,14.0,11.0,15.0
698,10.0,15.0,12.0,17.0
699,12.0,17.0,12.0,20.0
700,16.0,19.0,14.0,21.0
701,18.0,19.0,15.0,23.0
702,20.0,19.0,17.0,25.0
703,19.0,13.0,15.0,19.0
704,18.0,14.0,12.0,16.0
705,20.0,16.0,9.0,13.0
706,18.0,15.0,8.0,15.0
707,15.0,12.0,5.0,15.0
708,12.0,10.0,1.0,15.0
709,10.0,9.0,0.0,15.0
710,7.0,9.0,1.0,12.0
711,3.0,10.0,2.0,10.0
712,3.0,10.0,7.0,10.0
713,6.0,10.0,7.0,11.0
714,5.0,7.0,5.0,10.0
715,7.0,7.0,6.0,11.0
716,9.0,9.0,6.0,13.0
717,9.0,9.0,8.0,15.0
718,8.0,10.0,12.0,15.0
719,9.0,12.0,15.0,17.0
720,14.0,12.0,16.0,19.0
721,14.0,12.0,18.0,19.0
722,15.0,12.0,18.0,22.0
723,15.0,13.0,20.0,24.0
724,16.0,14.0,23.0,27.0
725,17.0,16.0,26.0,28.0
726,18.0,16.0,27.0,30.0
727,14.0,13.0,24.0,24.0
728,13.0,13.0,21.0,23.0
729,12.0,13.0,19.0,22.0
730,11.0,12.0,15.0,21.0
731,11.0,12.0,13.0,19.0
732,11.0,9.0,13.0,16.0
733,9.0,8.0,14.0,17.0
734,7.0,8.0,12.0,13.0
735,7.0,7.0,7.0,14.0
736,6.0,6.0,6.0,17.0
737,5.0,1.0,6.0,17.0
738,4.0,1.0,6.0,13.0
739,4.0,2.0,7.0,15.0
740,4.0,4.0,7.0,17.0
741,5.0,4.0,7.0,17.0
742,6.0,7.0,7.0,17.0
743,7.0,8.0,10.0,19.0
744,8.0,10.0,10.0,19.0
745,8.0,10.0,10.0,21.0
746,8.0,11.0,11.0,22.0
747,9.0,11.0,13.0,23.0
748,10.0,11.0,14.0,23.0
749,10.0,13.0,15.0,23.0
750,11.0,14.0,17.0,23.0
751,8.0,11.0,12.0,17.0
752,5.0,10.0,11.0,15.0
753,3.0,9.0,15.0,11.0
754,3.0,8.0,13.0,10.0
755,3.0,7.0,9.0,9.0
756,3.0,6.0,9.0,10.0
757,4.0,8.0,7.0,9.0
758,3.0,7.0,5.0,8.0
759,4.0,7.0,5.0,7.0
760,3.0,5.0,5.0,6.0
761,2.0,5.0,4.0,5.0
762,4.0,4.0,4.0,4.0
763,7.0,4.0,4.0,5.0
764,7.0,4.0,7.0,7.0
765,8.0,5.0,8.0,9.0
766,10.0,8.0,8.0,10.0
767,11.0,11.0,10.0,12.0
768,12.0,14.0,10.0,16.0
769,13.0,14.0,13.0,17.0
770,14.0,14.0,14.0,18.0
771,17.0,16.0,17.0,21.0
772,17.0,16.0,17.0,22.0
773,18.0,16.0,17.0,23.0
774,22.0,19.0,17.0,23.0
